queen trade frequency,queen trades significant,queen trade win rate,non queen trade win rate,loss stats significant,win stats significant,average loss length,average loss diff,average game length,average win length,average win diff,player name,Mobility,Mobility signficant,King safety,King safety signficant,Threats,Threats signficant,Passed pawns,Passed pawns signficant,Space,Space signficant
51.0%,false,43.0%,36.0%,false,false,93,3,90,89,-1,Rogelio Barcenilla,-15,no,-42,no,-9,no,-3,no,2,no
52.0%,false,55.00000000000001%,69.0%,false,false,99,7,92,78,-14,Conrad Holt,-24,no,60,no,10,no,4,no,0,no
45.0%,true,65.0%,69.0%,false,false,92,8,84,87,3,Rauf Mamedov,2,no,-25,no,-1,no,-3,no,3,no
39.0%,false,64.0%,61.0%,false,false,84,11,73,85,12,Giorgi Margvelashvili,54,yes,16,no,6,no,-11,no,6,no
