ply in common,game1_id,game2_id,moves
3,167,181,Nf3 Nf6 g3 
3,194,167,Nf3 Nf6 g3 
3,126,120,b3 Nf6 Bb2 
3,64,48,a3 d5 Nf3 
3,198,200,Nf3 g6 e4 
3,178,158,Nf3 f5 d
3,185,178,Nf3 f5 d3 
3,138,147,f4 c5 Nf3 
3,193,165,Nf3 e6 c4 
3,179,174,Nf3 e6 c4 
3,137,145,f4 Nf6 Nf3 
3,124,90,b3 d5 Bb2 
2,152,150,f4 d5 
2,44,27,Nc3 g6 
2,176,166,Nf3 Nf6 
2,92,79,b3 d5 
2,112,86,b3 d
2,166,188,Nf3 Nf6 
2,102,73,b3 e
2,51,8,g3 f5 
2,7,50,g3 e
2,6,34,g3 e5 
2,15,53,g3 d
2,62,3,b4 d5 
2,101,126,b3 N
2,42,12,g3 d5 
2,199,186,Nf3 b6 
2,180,192,Nf3 c5 
2,48,59,a3 d5 
2,146,142,f4 g6 
2,139,143,f4 e
2,10,56,a3 c5 
2,148,151,f4 d5 
2,71,162,Nf3 d
2,157,179,Nf3 e6 
2,160,198,Nf3 g6 
2,170,160,Nf3 g6 
2,175,168,Nf3 f5 
2,43,45,c3 c5 
2,158,195,Nf3 f5 
1,56,64,a3 
1,45,11,c3 
1,11,21,c3 
1,9,44,Nc3 
1,5,4,e3 
1,40,43,c3 
1,165,175,Nf3 
1,4,33,e3 
1,33,68,e
1,135,118,b3 
1,27,173,N
1,162,157,Nf3 
1,8,14,g3 
1,145,138,f4 
1,161,114,Nf3 
1,147,149,f4 
1,105,75,b3 
1,41,10,a3 
1,154,139,f4 
1,195,159,Nf3 
1,143,144,f4 
1,86,129,b3 
1,118,77,b3 
1,17,65,g3 
1,59,16,a3 
1,186,180,Nf3 
1,16,23,a3 
1,190,199,Nf3 
1,49,31,g3 
1,46,9,Nc3 
1,20,37,b4 
1,53,29,g3 
1,63,20,b4 
1,122,63,b
1,50,47,g3 
1,97,134,b3 
1,3,38,b4 
0,142,69,""
0,200,41,""
0,18,40,""
0,68,137,""
0,21,5,""
0,23,101,""
