CPScore,HigherPlayerWinPercentage,HigherPlayerWins,HigherPlayerLosses
-122,0.3333333333333333,1,2
52,0.6,3,2
-4239,1.0,1,0
-401,0.0,0,1
-72,0.0,0,6
-312,0.0,0,1
238,0.0,0,1
428,0.3333333333333333,1,2
36,1.0,4,0
556,1.0,1,0
-691,0.0,0,1
-533,0.0,0,1
585,1.0,1,0
208,0.0,0,1
2,0.6666666666666666,2,1
583,1.0,1,0
-152,0.0,0,2
-69,0.375,3,5
-217,1.0,1,0
-100,0.5,2,2
625,1.0,2,0
-7,0.0,0,1
-376,1.0,2,0
-31,0.4,2,3
-1259,1.0,1,0
-130,0.5714285714285714,4,3
-363,0.0,0,1
1487,0.0,0,1
-226,0.0,0,1
-1750,0.0,0,1
103,0.25,1,3
-255,0.5,1,1
12,0.6666666666666666,2,1
1146,1.0,1,0
-191,0.6666666666666666,2,1
35,0.75,9,3
31,0.0,0,2
-36,0.3333333333333333,2,4
-147,0.5,1,1
-524,0.0,0,1
566,1.0,1,0
-74,0.0,0,4
-96,0.3333333333333333,1,2
601,0.0,0,1
558,0.5,1,1
423,1.0,2,0
468,1.0,1,0
23,0.0,0,3
91,0.7142857142857143,5,2
-273,0.5,1,1
-293,0.0,0,1
168,1.0,2,0
-55,0.14285714285714285,1,6
-198,0.3333333333333333,1,2
-1289,0.0,0,1
-248,0.5,1,1
-302,0.25,1,3
381,0.5,1,1
-61,0.4,2,3
637,1.0,1,0
677,1.0,2,0
819,0.0,0,1
-27,0.7142857142857143,5,2
254,0.6666666666666666,2,1
-86,0.0,0,2
-649,0.0,0,1
56,0.5714285714285714,4,3
99,0.0,0,2
146,0.3333333333333333,1,2
-65,0.0,0,4
3082,1.0,1,0
141,0.75,3,1
531,0.0,0,1
-1673,1.0,1,0
185,1.0,1,0
-346,0.0,0,1
-1427,0.0,0,1
-199,0.0,0,1
344,1.0,2,0
495,0.0,0,2
170,0.5,1,1
640,1.0,1,0
-243,0.0,0,2
528,1.0,1,0
-785,0.0,0,1
447,1.0,2,0
64,0.5,1,1
214,0.5,1,1
101,1.0,3,0
72,0.75,3,1
-229,0.0,0,1
1120,1.0,1,0
-515,1.0,1,0
1338,1.0,1,0
-448,1.0,1,0
130,1.0,2,0
199,0.4,2,3
100,0.0,0,2
149,0.8,4,1
-94,0.6666666666666666,2,1
-43,0.3333333333333333,2,4
46,0.5,2,2
-1279,0.0,0,1
18,1.0,4,0
-256,0.0,0,1
-5,1.0,1,0
63,1.0,2,0
-77,0.6,3,2
54,0.8333333333333334,5,1
277,0.0,0,1
-411,0.0,0,2
-214,0.5,1,1
1216,0.0,0,1
-136,0.5,1,1
15,0.5,1,1
53,0.6666666666666666,2,1
1754,0.0,0,1
2193,0.0,0,1
37,0.0,0,1
34,0.5,3,3
527,1.0,2,0
438,0.0,0,1
-119,0.0,0,1
256,0.0,0,1
181,0.3333333333333333,1,2
-340,0.5,1,1
-3327,0.0,0,1
27,0.4,2,3
150,0.6666666666666666,2,1
134,0.8,4,1
740,1.0,1,0
1195,1.0,1,0
1521,1.0,1,0
-114,1.0,2,0
118,0.25,1,3
1254,0.0,0,1
145,0.25,1,3
313,0.3333333333333333,1,2
-333,0.0,0,2
416,0.5,1,1
999,1.0,1,0
-2,0.5,1,1
-567,0.0,0,2
-1248,0.0,0,1
-555,1.0,1,0
11919,0.0,0,1
124,0.6666666666666666,2,1
333,1.0,1,0
117,0.5,1,1
-378,0.0,0,2
-31983,0.0,0,1
-697,0.0,0,1
-837,0.0,0,1
291,0.6,3,2
-269,0.0,0,1
-262,0.0,0,1
445,0.5,1,1
171,0.5,1,1
533,0.0,0,1
319,1.0,2,0
-331,1.0,1,0
-87,0.5,2,2
355,0.0,0,1
361,0.5,1,1
226,1.0,2,0
139,0.0,0,2
1021,0.0,0,2
644,1.0,1,0
-756,0.0,0,1
-28,0.2,1,4
474,0.3333333333333333,1,2
-109,0.6,3,2
-627,1.0,1,0
-285,0.0,0,2
-679,0.0,0,1
-54,0.5,1,1
31990,0.5,1,1
108,0.0,0,2
-434,0.0,0,1
148,0.5,1,1
-1297,0.0,0,1
132,1.0,1,0
-467,1.0,1,0
20,1.0,4,0
331,0.0,0,1
269,0.0,0,1
324,1.0,1,0
126,0.3333333333333333,1,2
-221,0.0,0,1
-143,0.5,1,1
970,0.5,1,1
-288,0.5,1,1
771,0.0,0,1
1056,1.0,1,0
-577,0.0,0,1
-227,1.0,1,0
-266,0.0,0,1
981,0.0,0,1
-58,0.6666666666666666,2,1
-18,0.3333333333333333,1,2
-270,1.0,1,0
-68,0.6666666666666666,2,1
-919,0.0,0,1
-1332,1.0,1,0
385,0.0,0,1
487,1.0,2,0
207,0.0,0,1
196,1.0,1,0
179,0.6,3,2
657,1.0,4,0
274,1.0,3,0
-684,1.0,1,0
700,0.0,0,1
128,0.0,0,2
-118,0.7142857142857143,5,2
1314,1.0,1,0
195,1.0,2,0
-1417,1.0,1,0
-39,0.3333333333333333,2,4
-258,0.0,0,2
-788,0.0,0,1
-110,0.3333333333333333,1,2
1004,1.0,1,0
-16,1.0,4,0
-344,1.0,1,0
-437,1.0,1,0
-35,0.25,1,3
504,0.5,1,1
-334,0.0,0,1
525,0.5,1,1
-341,0.0,0,2
169,0.8,4,1
155,1.0,1,0
1823,1.0,1,0
219,1.0,2,0
3,0.5,2,2
189,0.0,0,1
96,0.0,0,2
-170,0.3333333333333333,1,2
164,0.0,0,2
457,0.5,1,1
-33,0.25,1,3
-1951,1.0,1,0
3313,0.0,0,1
201,0.6666666666666666,2,1
-377,1.0,1,0
-183,0.0,0,1
935,1.0,1,0
-658,1.0,1,0
-659,0.0,0,1
-95,0.5,1,1
